path	subsystem	kind	lines	bytes	module	import_count	test
src/Gameplay/Runtime/GameplaySceneSync.cppm	Gameplay	cppm	71	2345	core:gameplay_scene_sync	5	0
src/Gameplay/Traversal/DoorTraversalExecutor.cppm	Gameplay	cppm	197	9407	core:door_traversal_executor	7	0
src/Gameplay/Traversal/GameplayTraversalExecutor.cppm	Gameplay	cppm	60	1918	core:gameplay_traversal_executor	3	0
src/Gameplay/Traversal/GameplayTraversalExecutorRegistry.cppm	Gameplay	cppm	88	2648	core:gameplay_traversal_executor_registry	2	0
src/Gameplay/Traversal/GameplayTraversalLink.cppm	Gameplay	cppm	74	2301	core:gameplay_traversal_link	3	0
src/Gameplay/Traversal/GameplayTraversalLinkRegistry.cppm	Gameplay	cppm	67	1821	core:gameplay_traversal_link_registry	2	0
src/Gameplay/Traversal/JumpTraversalExecutor.cppm	Gameplay	cppm	293	12949	core:jump_traversal_executor	6	0
src/Input/ControllerBase.cppm	Input	cppm	47	1217	core:controller_base	1	0
src/Input/Input.cppm	Input	cppm	56	1427	core:input	0	0
src/Input/InputCore.cppm	Input	cppm	79	2465	core:input_core	1	0
src/Input/Win32Input.cppm	Input	cppm	214	5604	core:win32_input	2	0
src/Level/Level.cppm	Level	cppm	103	2980	core:level	17	0
src/Level/LevelECS.cppm	Level	cppm	176	5490	core:level_ecs	3	0
src/Level/LevelECS_impl.cppm	Level	cppm	236	7014	core:level_ecs_impl	1	0
src/Level/LevelImpl/Level_AssetTypes.inl	Level	inl	176	4471		0	0
src/Level/LevelImpl/Level_InstantiateRuntime.inl	Level	inl	355	10964		0	0
src/Level/LevelImpl/Level_JsonSupport.inl	Level	inl	86	2837		0	0
src/Level/LevelImpl/Level_LevelInstance_Editing.inl	Level	inl	3	181		0	0
src/Level/LevelImpl/Level_LevelInstance_Editing_AccessorsAndParticles.inl	Level	inl	260	6367		0	0
src/Level/LevelImpl/Level_LevelInstance_Editing_ImportAndMutation.inl	Level	inl	787	24018		0	0
src/Level/LevelImpl/Level_LevelInstance_Editing_RuntimeSync.inl	Level	inl	220	6077		0	0
src/Level/LevelImpl/Level_LevelInstance_PrivateHelpers.inl	Level	inl	984	27546		0	0
src/Level/LevelImpl/Level_LevelInstance_RuntimeBindings.inl	Level	inl	345	8386		0	0
src/Level/LevelImpl/Level_LevelInstance_State.inl	Level	inl	28	1219		0	0
src/Level/LevelImpl/Level_LoadJson.inl	Level	inl	37	1378		0	0
src/Level/LevelImpl/Level_LoadJson_AssetSections.inl	Level	inl	485	18466		0	0
src/Level/LevelImpl/Level_LoadJson_SceneSections.inl	Level	inl	437	14225		0	0
src/Level/LevelImpl/Level_SaveJson.inl	Level	inl	58	1695		0	0
src/Level/LevelImpl/Level_SaveJson_AssetSections.inl	Level	inl	600	20674		0	0
src/Level/LevelImpl/Level_SaveJson_SceneSections.inl	Level	inl	326	8711		0	0
src/Level/LevelImpl/Level_SaveJson_Support.inl	Level	inl	25	561		0	0
src/Navigation/Navigation.cppm	Navigation	cppm	178	4069	core:navigation	1	0
src/Navigation/Recast/Navigation.cpp	Navigation	cpp	710	19794	core	2	0
src/Physics/Jolt/JoltBodyRegistry.cppm	Physics	cppm	253	7252	core:jolt_body_registry	1	0
src/Physics/Jolt/JoltCharacterRegistry.cppm	Physics	cppm	297	9577	core:jolt_character_registry	1	0
src/Physics/Jolt/JoltCollisionLayers.cpp	Physics	cpp	87	2797		0	0
src/Physics/Jolt/JoltCollisionLayers.h	Physics	h	44	1320		0	0
src/Physics/Jolt/JoltPhysicsWorld.cpp	Physics	cpp	1301	49032		1	0
src/Physics/Jolt/JoltPhysicsWorld.h	Physics	h	68	3900		1	0
src/Physics/Jolt/JoltRuntime.cpp	Physics	cpp	159	3848		0	0
src/Physics/Jolt/JoltRuntime.h	Physics	h	35	862		0	0
src/Physics/Jolt/JoltShapeFactory.cppm	Physics	cppm	88	2847	core:jolt_shape_factory	1	0
src/Physics/LevelPhysicsRuntime.cpp	Physics	cpp	386	13876		0	0
src/Physics/LevelPhysicsRuntime.h	Physics	h	70	2592		1	0
src/Physics/PhysicsTypes.cppm	Physics	cppm	344	10040	core:physics_types	1	0
src/Render/Bindless.cppm	Render	cppm	39	891	core:render_bindless	1	0
src/Render/Debug/DebugColorUtils.cppm	Render	cppm	16	453	core:debug_color_utils	0	0
src/Render/Debug/DebugDraw.cppm	Render	cppm	422	13701	core:debug_draw	2	0
src/Render/Debug/DebugText.cppm	Render	cppm	188	4533	core:debug_text	1	0
src/Render/Decoders/TextureDecoderSTB.cppm	Render	cppm	474	12698	core:texture_decoder_stb	3	0
src/Render/DirectX12/CommonDX12Structs.cppm	Render	cppm	633	24367	core:common_DX12_Structs	6	0
src/Render/DirectX12/DebugDrawRendererDX12.cppm	Render	cppm	268	8318	core:debug_draw_renderer_dx12	5	0
src/Render/DirectX12/DebugTextRendererDX12.cppm	Render	cppm	419	13477	core:debug_text_renderer_dx12	4	0
src/Render/DirectX12/DirectX12Core.cppm	Render	cppm	78	2040	core:dx12_core	0	0
src/Render/DirectX12/DirectX12RHI.cppm	Render	cppm	258	6840	core:rhi_dx12	3	0
src/Render/DirectX12/DirectX12Renderer.cppm	Render	cppm	671	25394	core:renderer_dx12	19	0
src/Render/DirectX12/DirectX12TextureUploader.cppm	Render	cppm	610	15685	core:render_core_dx12	3	0
src/Render/DirectX12/RHIImpl/DirectX12RHI_Device.inl	Render	inl	27	1103		0	0
src/Render/DirectX12/RHIImpl/DirectX12RHI_Device_CapabilitiesAndDxc.inl	Render	inl	267	9224		0	0
src/Render/DirectX12/RHIImpl/DirectX12RHI_Device_Descriptors.inl	Render	inl	378	13774		0	0
src/Render/DirectX12/RHIImpl/DirectX12RHI_Device_FrameUpload.inl	Render	inl	210	7551		0	0
src/Render/DirectX12/RHIImpl/DirectX12RHI_Device_PrivateHelpers.inl	Render	inl	5	245		0	0
src/Render/DirectX12/RHIImpl/DirectX12RHI_Device_PrivateTypes.inl	Render	inl	178	6694		0	0
src/Render/DirectX12/RHIImpl/DirectX12RHI_Device_Public.inl	Render	inl	9	514		0	0
src/Render/DirectX12/RHIImpl/DirectX12RHI_Device_Public_Buffers.inl	Render	inl	132	4385		0	0
src/Render/DirectX12/RHIImpl/DirectX12RHI_Device_Public_CommandSubmission.inl	Render	inl	417	19258		0	0
src/Render/DirectX12/RHIImpl/DirectX12RHI_Device_Public_CommandSubmission_DrawAndImGuiCommands.inl	Render	inl	173	9725		0	0
src/Render/DirectX12/RHIImpl/DirectX12RHI_Device_Public_CommandSubmission_PSOHelpers.inl	Render	inl	64	3109		0	0
src/Render/DirectX12/RHIImpl/DirectX12RHI_Device_Public_CommandSubmission_PassCommands.inl	Render	inl	292	10459		0	0
src/Render/DirectX12/RHIImpl/DirectX12RHI_Device_Public_CommandSubmission_StateAndBindingCommands.inl	Render	inl	126	6763		0	0
src/Render/DirectX12/RHIImpl/DirectX12RHI_Device_Public_CommandSubmission_TransitionAndSrvHelpers.inl	Render	inl	60	1601		0	0
src/Render/DirectX12/RHIImpl/DirectX12RHI_Device_Public_Core.inl	Render	inl	320	12647		0	0
src/Render/DirectX12/RHIImpl/DirectX12RHI_Device_Public_DebugHelpers.inl	Render	inl	4	103		0	0
src/Render/DirectX12/RHIImpl/DirectX12RHI_Device_Public_DescriptorsAndFences.inl	Render	inl	145	5229		0	0
src/Render/DirectX12/RHIImpl/DirectX12RHI_Device_Public_ShaderObjects.inl	Render	inl	106	4038		0	0
src/Render/DirectX12/RHIImpl/DirectX12RHI_Device_Public_ShaderPipelineEx.inl	Render	inl	130	5136		0	0
src/Render/DirectX12/RHIImpl/DirectX12RHI_Device_Public_Textures.inl	Render	inl	411	16903		0	0
src/Render/DirectX12/RHIImpl/DirectX12RHI_Device_RootSignature.inl	Render	inl	209	8286		0	0
src/Render/DirectX12/RHIImpl/DirectX12RHI_Device_State.inl	Render	inl	80	2525		0	0
src/Render/DirectX12/RHIImpl/DirectX12RHI_ImGui_Private.inl	Render	inl	2	123		0	0
src/Render/DirectX12/RHIImpl/DirectX12RHI_ImGui_Public.inl	Render	inl	45	1190		0	0
src/Render/DirectX12/RHIImpl/DirectX12RHI_SwapChain.inl	Render	inl	73	2223		0	0
src/Render/DirectX12/RHIImpl/DirectX12RHI_SwapChainImpl.inl	Render	inl	217	7605		0	0
src/Render/DirectX12/RenderDX12.ixx	Render	ixx	13	371	core:render_dx12	5	0
src/Render/DirectX12/RendererImpl/DirectX12Renderer_CreateResources_00_PathsSkybox.inl	Render	inl	65	2359		0	0
src/Render/DirectX12/RendererImpl/DirectX12Renderer_CreateResources_01_MainPipelines.inl	Render	inl	679	26294		0	0
src/Render/DirectX12/RendererImpl/DirectX12Renderer_CreateResources_02_ShadowPipelines.inl	Render	inl	302	11271		0	0
src/Render/DirectX12/RendererImpl/DirectX12Renderer_CreateResources_03_DynamicBuffers.inl	Render	inl	82	3225		0	0
src/Render/DirectX12/RendererImpl/DirectX12Renderer_RenderFrame_00_SetupCSM.inl	Render	inl	187	8321		0	0
src/Render/DirectX12/RendererImpl/DirectX12Renderer_RenderFrame_01_BuildInstances.inl	Render	inl	3	301		0	0
src/Render/DirectX12/RendererImpl/DirectX12Renderer_RenderFrame_01_BuildInstances_FinalizeAndUpload.inl	Render	inl	189	7321		0	0
src/Render/DirectX12/RendererImpl/DirectX12Renderer_RenderFrame_01_BuildInstances_MainTransparentReflectionPacking.inl	Render	inl	403	12991		0	0
